date,datetime,hotel_address,hotel_name,nesitive_content,positive_content,posting_conts,review_title,review_url,reviewer_location,reviewer_name,stardate,tag_n1,tag_n2,tag_n3,tag_n4,tag_n5
,,"〒600-8007 京都府, 京都市, 下京区立売西町 68−2",センチュリオン　キャビン＆スパ　京都,サウナがもう少し広ければいいかな。,今回初めてのカプセルホテル利用だったので、正直不安いっぱいでしたが、スーペリアルームを利用した事もあり、プライバシーもそれなりに確保でき大満足です。次回も利用したいと思いますし、知人にも勧めるつもりです。,1件の投稿,カプセルホテル初体験,https://www.booking.com/reviews/jp/hotel/centurion-cabin-and-spa-kyoto/review/30cf385b2648eaf0.ja.html,日本,Miya,,,,,,
,,"〒600-8007 京都府, 京都市, 下京区立売西町 68−2",センチュリオン　キャビン＆スパ　京都,浴場が狭かったです。脱衣室も、洗面台やトイレを利用するためには着替えている方の後ろを通らなければならないのですが、肌が触れ合う距離で身動きがとりにくかったです。脱衣室で気分が悪くなりましたが、休める椅子があると良かったです。,入浴後、気分が悪くなり座りこんでいたら、外国人宿泊者のグループが優しく介抱してくださりスタッフを呼んでくれました。スタッフの方も部屋までついて来てくださりとても親切にしてくださいました。安全な施設だと感じました。,1件の投稿,お値段以上、満足です。,https://www.booking.com/reviews/jp/hotel/centurion-cabin-and-spa-kyoto/review/00f10b75319d67b2.ja.html,日本,Ayaka,,,,,,
,,"〒600-8007 京都府, 京都市, 下京区立売西町 68−2",センチュリオン　キャビン＆スパ　京都,特になし,ロケーションが良かった。お風呂も良かった～！,1件の投稿,快適！,https://www.booking.com/reviews/jp/hotel/centurion-cabin-and-spa-kyoto/review/aad608b135af0de7.ja.html,日本,Keiko,,,,,,
,,"〒600-8007 京都府, 京都市, 下京区立売西町 68−2",センチュリオン　キャビン＆スパ　京都,入浴脱衣所狭く、ロッカー少ない。,ベットマットレス良い,2件の投稿,連泊したくなる,https://www.booking.com/reviews/jp/hotel/centurion-cabin-and-spa-kyoto/review/df7cdac0e48014e5.ja.html,日本,Noriko,,,,,,
,,"〒600-8007 京都府, 京都市, 下京区立売西町 68−2",センチュリオン　キャビン＆スパ　京都,乾燥が気になり咳が出た。,とても清潔感があって安心して泊まれた。,1件の投稿,お買い得,https://www.booking.com/reviews/jp/hotel/centurion-cabin-and-spa-kyoto/review/506e6769ad7686dd.ja.html,日本,匿名,,,,,,
,,"〒600-8007 京都府, 京都市, 下京区立売西町 68−2",センチュリオン　キャビン＆スパ　京都,特になし,京都はここと決めてますが 全てのことに慣れてしまえば、ここで値段抑えて、ほんのことにお金を使えます。さにな大丸前、錦市場も近いですし、交通アクセスも最高です。,4件の投稿,今回もお世話になりました。,https://www.booking.com/reviews/jp/hotel/centurion-cabin-and-spa-kyoto/review/a8b6550a4abaeeb7.ja.html,日本,貴裕,,,,,,
,,"〒600-8007 京都府, 京都市, 下京区立売西町 68−2",センチュリオン　キャビン＆スパ　京都,仕方がないけど、ロッカーの所が狭くて朝着替えるのがちょっとストレスでした。,ロケーションとコスパがちょうど良かった。,1件の投稿,かなり満足しました。,https://www.booking.com/reviews/jp/hotel/centurion-cabin-and-spa-kyoto/review/ac3b20be5d05066a.ja.html,日本,Akimasa,,,,,,
,,"〒600-8007 京都府, 京都市, 下京区立売西町 68−2",センチュリオン　キャビン＆スパ　京都,深夜にキャリーをひく音、ジッパーを開ける音、ガタガタと周りを気遣う気のない人々がいた、日本人・西洋人ではなかった。睡眠不足になる。,バス停がすぐ,37件の投稿,まあまあ,https://www.booking.com/reviews/jp/hotel/centurion-cabin-and-spa-kyoto/review/ae7a8acf8cd2bb9f.ja.html,日本,匿名,,,,,,
,,"〒600-8007 京都府, 京都市, 下京区立売西町 68−2",センチュリオン　キャビン＆スパ　京都,ロッカーが暗証番号正しく入力しても開かなくて、何度かレセプションに行き開けてもらった。,コスパが良い 場所が良い,3件の投稿,良かった,https://www.booking.com/reviews/jp/hotel/centurion-cabin-and-spa-kyoto/review/61ee60aa1929a9f6.ja.html,日本,Takuji,,,,,,
,,"〒600-8007 京都府, 京都市, 下京区立売西町 68−2",センチュリオン　キャビン＆スパ　京都,ゲストのマナー、質 荷物が多いから仕方ないのだろうけど ゲストルームの廊下で、0時過ぎて片付けはさすがに。。。マナーに関する張り紙が必要 荷物整理するスペースが必要だし、あるなら提示すべき バスマットが濡れすぎてひやり チェックアウト時間は過ぎてないのにスタッフさんが片付けしだしていて、自分中心、優先笑 まだゲストいるのに強気すぎてビビりました笑,親切な対応だった 外観はゴージャスで京都感満載 24時間入浴できるのは素晴らしい,1件の投稿,楽しかった,https://www.booking.com/reviews/jp/hotel/centurion-cabin-and-spa-kyoto/review/072ca9626a43c2c4.ja.html,日本,Sayaka,,,,,,
