clean,comf,ctg_name,ctg_pplt,ctg_rank,date,datetime,fclt,hotel_address,hotel_name,hotel_url,loct,review_qty,review_score,staff,vfm,wifi
8.7,8,京都市のホテルランキング,：,128位,,,8.4,"〒600-8007 京都府, 京都市, 下京区立売西町 68−2",センチュリオン　キャビン＆スパ　京都,https://www.booking.com/reviews/jp/hotel/centurion-cabin-and-spa-kyoto.ja.html,9.1,ホテルのクチコミ5812件の評価,,8.3,8.4,8.5
9.6,9.5,,,,,,9.3,"〒600-8138 京都府, 京都市, 下京区大宮町207-2",No.10 京都ハウス,https://www.booking.com/reviews/jp/hotel/no-10-jing-du.ja.html,8.8,ホテルのクチコミ44件の評価,9.2,9,8.8,7.5
8.8,8.7,京都市のホテルランキング,：,199位,,,8.2,"〒605-0052 京都府, 京都市, 東山区粟田口華頂町１",ウェスティン都ホテル京都,https://www.booking.com/reviews/jp/hotel/the-westin-miyako-kyoto.ja.html,8.3,ホテルのクチコミ755件の評価,,8.7,7.6,8
10,10,京都市のバケーションレンタルのランキング,：,130位,,,10,"〒605-0861 京都府, 京都市, 東山区清閑寺霊山町 5-21",京都の宿 千鶴別邸,https://www.booking.com/reviews/jp/hotel/kyonoyado-senkaku-bettei.ja.html,9.3,ホテルのクチコミ58件の評価,,10,9.7,8.3
9.1,8.7,京都市のホテルランキング,：,224位,,,8.6,"〒600-8421 京都府, 京都市, 下京区綾小路通烏丸西入童侍者町160",相鉄フレッサイン 京都四条烏丸,https://www.booking.com/reviews/jp/hotel/sotetsu-fresa-inn-kyoto-shijo-karasuma.ja.html,8.8,ホテルのクチコミ279件の評価,,8.6,8.2,7.9
9.2,9.1,,,,,,9.1,"〒605-0812 京都府, 京都市, 東山区毘沙門町44-24",鈴 祇園 毘沙門,https://www.booking.com/reviews/jp/hotel/rinn-gion-bishamon.ja.html,8.8,ホテルのクチコミ271件の評価,9.1,9.2,9,8
9.1,9.1,京都市のバケーションレンタルのランキング,：,71位,,,9,"〒600-8357 京都府, 京都市, 下京区柿本町700-1",アークリード五条堀川 - ゲストハウスイン京都,https://www.booking.com/reviews/jp/hotel/guest-house-in-kyoto-arklead-gojohorikawa.ja.html,7.9,アパートメントのクチコミ759件の評価,,8.8,9,9.2
8.7,8.2,,,,,,7.6,"〒602-8163 京都府, 京都市, 上京区田中町422",京都二条ホテル 夢いろは,https://www.booking.com/reviews/jp/hotel/jing-du-er-tiao-hoteru-meng-iroha.ja.html,7,ホテルのクチコミ23件の評価,,8.2,7.6,7.5
9.3,9,京都市のバケーションレンタルのランキング,：,38位,,,9.1,"〒605-0981 京都府, 京都市, 東山区本町7-42-2",リバーイースト七条 ーゲストハウスイン京都ー,https://www.booking.com/reviews/jp/hotel/hommachi-sanjusangendo-guest-house-in-kyoto.ja.html,8.6,アパートメントのクチコミ695件の評価,9.0,8.9,9.1,9.4
9,8.9,京都市のバケーションレンタルのランキング,：,97位,,,9,"〒605-0005 京都府, 京都市, 東山区三町目 25-5",RESI STAY　東山三条,https://www.booking.com/reviews/jp/hotel/resistay-higashiyama-sanjo.ja.html,8.8,アパートメントのクチコミ213件の評価,,8.8,8.7,8.8
