content,date,datetime,hotel_name,purpose,review_title,review_url,reviewer_location,reviewer_name,tips
日本のホテルでラウンジ利用はあまりしないのですが、フロアも広くて海外のようでした。席がゆったりしているので、落ち着きます。,2018-06-08,2018-06-08 02:28:26,ANAクラウンプラザホテル大阪,2018年4月、友達との旅行,ラウンジはおすすめです。,https://www.tripadvisor.jp/ShowUserReviews-g298566-d307417-r582154453-ANA_Crowne_Plaza_Osaka-Osaka_Osaka_Prefecture_Kinki.html,"名古屋市, 愛知県",おかしゃん, クラブルームがおすすめ 
約3年ぶりに利用しました。前回は水回りの古さが目立っていましたが、今回は改装され綺麗になっており、臭いも気になりませんでした。,2018-06-08,2018-06-08 02:28:26,ANAクラウンプラザホテル大阪,2018年5月、出張としての旅行,改装され水回りが良くなりました。,https://www.tripadvisor.jp/ShowUserReviews-g298566-d307417-r583007995-ANA_Crowne_Plaza_Osaka-Osaka_Osaka_Prefecture_Kinki.html,"名古屋市, 愛知県",Kametaro5555, クラブルームがおすすめ 
"漸くインターコンチネンタルホテルに泊まれる機会がやって来た🎵

５月３１日の夜、冒頭の本場スペイン(ダンサー💃アナベル･ヴェロソ、ギターリスト🎸ホセ･ルイス･モントン、フェルナンド･エゴスキュー)の見事なフラメンコは想像以上に艶やかに舞い踊る💃。

途中にブッフェ休憩☕😌💕があり、
こちらも立食とはいえ豪華かつ充実。

こんなに楽しく過ごした(部屋の温度も快適どこかに“ぴちょんくん”がいるのかしら😃)イベントは初めてかもしれません。

ありがとう(^o^)インターコンチネンタルホテル大阪さん(*ﾉ▽ﾉ*)

出掛ける際、いつからか知らんけど雨☔女になってしまった私…チェックインより２時間早めに到着。荷物を預けルクアや大丸梅田店に遊びに行こうにも、空室が私の部屋(2212)になった。

公式ホームページのお得なコースを選択。インターコンチネンタルルーム=デラックスダブル？確かに広さはある。ちと動線に迷いが生じるのは定宿(某ホテル)が基本だからしょうがないか(^^;

カーテンの向こう側はグランフロント大阪B
棟。働く人の姿が見える。しかも翌日の朝食の座席も同じ位置とは、これいかに_(^^;)ゞ

夕方、ターンダウンサービスを受ける。スタッフ２人のさりげない気遣いが嬉しい。

パジャマ(男女兼用　五分袖)は、
海兵隊さんっぼくて実にシンプル。

浴衣にはインターコンチネンタルのロゴが襟にあるが、パジャマにロゴが無い…何故だろう？

大浴場は４階。訪日客は浴衣姿でが多いとか。私は部屋着で翌日(６月１日金曜日)７時～朝風呂は貸し切り入浴ラッキー😃💕

番号札をもらい、靴箱に４桁の数字(自分の好きな数)を入れ...",2018-06-08,2018-06-08 02:28:26,インターコンチネンタルホテル大阪,2018年5月、一人での旅行,「ノーチェ･デ･エスパニア-スペインの夜」は感動しました。,https://www.tripadvisor.jp/ShowUserReviews-g298566-d4041964-r584228191-Intercontinental_Hotel_Osaka-Osaka_Osaka_Prefecture_Kinki.html,"Tokyo, Japan",Moldavita06,
新神戸駅からすぐの立地で神戸の夜景も見え、立地は最高です。,2018-06-08,2018-06-08 02:28:27,ANAクラウンプラザホテル大阪,2018年5月,神戸の夜景が見える宿。,https://www.tripadvisor.jp/ShowUserReviews-g298566-d307417-r583198789-ANA_Crowne_Plaza_Osaka-Osaka_Osaka_Prefecture_Kinki.html,"名古屋市, 愛知県",SASABARA, クラブルームがおすすめ 
"　初めてお世話になりました。
前回、すぐ近くのホテルに宿泊したのですが駐車場の問題で今回は違うホテルを選んでみました。

　
　まず、フロントの対応は飛び抜けて良いわけではないですが、笑顔もあり丁寧な対応をしていただきました。

　部屋に入ってみると・・・良くも悪くもシンプルな部屋で無駄に洒落っ気も無く、かといって質素な部屋と言う感じでもなく掃除も行き届いており快適な印象を持ちました。

　ただ・・・なぜにシャワールームと部屋の間がガラス張り・・・？（笑）まぁ一人だったので特に気に入らなかったわけでもなく・・・大阪だけに「なんでやねん！」と一人ツッコミしてしまいました。

　建物内は非の打ちどころはなく選んで正解だと思います。

　さてさて、前回の宿泊先で駐車場の問題・・・と書きましたが、ココもやはり入出庫に時間規制があり残念感があったのですが、このホテルなら「よっしゃ！」と思えたのが目の前にコインパーキングがあり、隣にはモータープールがあるので今回は帰着時に止めるところを探さなくて済んだので次回も利用したいかな・・・と思っていました。

　そして、個人的になかなかポイントが高かったのはホテル内にあるレストランが深夜遅くまでやっているので一人でボ～っとしながらタバコを吸いながらノンビリできるのは個人的に高ポイントでした！！！　料理はいただいていませんが、メニューを見たところなかなかな期待ができそうです。


　さて・・・欠点をお話ししますと・・・

　立地場所が宗右衛門町のど真ん中なので人の往来が激しく、初心者には夕方車での到着はかなり難易度が高いと思います。
　とにかく人が多...",2018-06-08,2018-06-08 02:28:27,ホリデイ・イン大阪難波,2017年2月、一人での旅行,宿泊には最高！シンプルながら快適快適！！,https://www.tripadvisor.jp/ShowUserReviews-g298566-d1237227-r504771196-Holiday_Inn_Osaka_Namba-Osaka_Osaka_Prefecture_Kinki.html,"横浜市, 神奈川県",kan_boss, 素直に良い部屋をお願いしますと言えば良いのでは？（笑）　夜は結構静かでした。 
南海難波の中央改札口から徒歩で３分もかからない近さです。レジデンスとはいうものの以前の口コミにもあるように、ホテルと変わらない感じです。ただ併設のレストランがないのか、朝食は南海難波駅のコンコースにある南海パーラー（喫茶店）かパン屋さんで取ることになります。南海パーラーは宿泊客限定メニューのようで、大阪名物セットがあります。このたこ焼きがカリっとしてて美味しかったです。,2018-06-08,2018-06-08 02:28:27,フレイザーレジデンス南海大阪,2018年2月、カップルでの旅行,シンガポール系のレジデンス,https://www.tripadvisor.jp/ShowUserReviews-g298566-d1833741-r578549826-Fraser_Residence_Nankai_Osaka-Osaka_Osaka_Prefecture_Kinki.html,日本,hkcafe,
何故かホリデイインとは思えない強気の価格設定です。難波の駅からもすぐで新しい施設なのですが、ちょっと私用では使えないかな。サービスは充分に満足できます。,2018-06-08,2018-06-08 02:28:27,ホリデイ・イン大阪難波,2017年8月、出張としての旅行,新しくて便利ですが,https://www.tripadvisor.jp/ShowUserReviews-g298566-d1237227-r518586253-Holiday_Inn_Osaka_Namba-Osaka_Osaka_Prefecture_Kinki.html,"宇都宮市, 栃木県",bluerain16150, 素直に良い部屋をお願いしますと言えば良いのでは？（笑）　夜は結構静かでした。 
ゴールデンウィーク前日から1泊で利用。新大阪駅直結のロケーション、まだ新しい施設ながら、良く手入れされた部屋、利用時間は遅くまで利用できるラウンジ等、とても良い滞在となった。今後も利用したい。,2018-06-08,2018-06-08 02:28:27,コートヤード・バイ・マリオット 新大阪ステーション,2018年5月、家族旅行,コートヤードマリオットとしては最上レベル,https://www.tripadvisor.jp/ShowUserReviews-g298566-d1083224-r583550580-Courtyard_by_Marriott_Shin_Osaka_Station-Osaka_Osaka_Prefecture_Kinki.html,"東京23区, 東京都",Koichi T,
最近の大阪のホテルは価格高騰で、チョイスに悩みます。,2018-06-08,2018-06-08 02:28:27,ホリデイ・イン大阪難波,2017年10月、出張としての旅行,良いホテルてますよ(^_^),https://www.tripadvisor.jp/ShowUserReviews-g298566-d1237227-r542396295-Holiday_Inn_Osaka_Namba-Osaka_Osaka_Prefecture_Kinki.html,"宇都宮市, 栃木県",a911853, 素直に良い部屋をお願いしますと言えば良いのでは？（笑）　夜は結構静かでした。 
家族で大阪観光に来ました。立地の良さと手頃な価格でここに決めました。家族４人で１泊しましたが、大人２人で18000円子供（小学生）２人が添い寝でプラス2000円。合計20000円（朝食付き）。道頓堀まで歩いて３分くらい。日本橋駅まで１分くらい。まだ新しい建物で快適でした。部屋はそんなに広くないですが、都市部でこの価格ですのでいい方だと思います。フロントのチェックインを終えると、下駄箱があってすぐ畳のフロアーになっていて廊下も畳でいい雰囲気の和風。部屋も畳ですが、ベットです。そして、温泉の大浴場があります。大きな内風呂とサウナ、ベランダのところに露天風呂のような感じの風呂がありました。朝食はビュッフェで大阪らしくお好み焼きや串揚げがありました。その時周りを見ると中国人、韓国人が多くいました。日本人より外国人の方が多い感じでした。総合的にはとても満足でした。,2018-06-08,2018-06-08 02:28:27,天然温泉花風の湯御宿野乃なんば,2017年1月、家族旅行,外国人を意識しているかのような和風な作り,https://www.tripadvisor.jp/ShowUserReviews-g298566-d11621499-r450372275-Onyado_Nono_Nanba-Osaka_Osaka_Prefecture_Kinki.html,"東京23区, 東京都",kappanosumika, 畳敷きのお部屋はとても良いと思います。 
叫ぶ走る、ドンドンと騒音出す中国人まみれのホテルです。ホテルは真新しく見えますが、外や廊下の声がよく聞こえ薄い作りのほてるです。いっそのこと外国人専用すればいいと思います。ホテルの人も日本人と外国人を分けるような配置をするなど気配りはありません。寝不足になりたくて中国人に会いたい人にはお勧めできます。二度と泊まることはありません。,2018-06-08,2018-06-08 02:28:27,天然温泉花風の湯御宿野乃なんば,2017年1月、カップルでの旅行,騒音だらけの中国人ホテル,https://www.tripadvisor.jp/ShowUserReviews-g298566-d11621499-r454227083-Onyado_Nono_Nanba-Osaka_Osaka_Prefecture_Kinki.html,"東京23区, 東京都",さすらいのおすにゃんこ, 畳敷きのお部屋はとても良いと思います。 
ホテルと旅館を足して5で割った感じ？,2018-06-08,2018-06-08 02:28:27,天然温泉花風の湯御宿野乃なんば,2017年2月、出張としての旅行,和風ふう,https://www.tripadvisor.jp/ShowUserReviews-g298566-d11621499-r469388479-Onyado_Nono_Nanba-Osaka_Osaka_Prefecture_Kinki.html,"東京, 日本",Ntorip, 畳敷きのお部屋はとても良いと思います。 
