date,datetime,hotel_address,hotel_name,nesitive_content,positive_content,posting_conts,review_title,review_url,reviewer_location,reviewer_name,stardate,tag_n1,tag_n2,tag_n3,tag_n4,tag_n5
,,"〒554-0024 大阪府, 大阪市, 此花区島屋6丁目2-45",ホテル京阪 ユニバーサル・タワー,特にありませを。,くるまがキャンピングカーで停めれないと相談したら、わざわざ特別に用意してくださいました。助かりました。,2件の投稿,また泊まりたいです。,https://www.booking.com/reviews/jp/hotel/hotel-keihan-universal-tower/review/f5933f222088b254.ja.html,日本,Yuuka,,,,,,
,,"〒554-0024 大阪府, 大阪市, 此花区島屋6丁目2-45",ホテル京阪 ユニバーサル・タワー,泊まった部屋が「寝るだけ」の仕様になっていて非常に残念。 物を置けるスペースがもう少し欲しい。 スッタフの応対は気分良かったが、対応は細かいところまで気が付かない。,ユニバーサルスタジオに近い。 コンビニがすぐ側にある。 スッタフの応対は気分良かった。,1件の投稿,普通。,https://www.booking.com/reviews/jp/hotel/hotel-keihan-universal-tower/review/94fe8148ee291f74.ja.html,日本,Harri,,,,,,
,,"〒554-0024 大阪府, 大阪市, 此花区島屋6丁目2-45",ホテル京阪 ユニバーサル・タワー,,綺麗な室内で、アメニティも揃っており、無料のお水か嬉しかったです。,1件の投稿,最高,https://www.booking.com/reviews/jp/hotel/hotel-keihan-universal-tower/review/a4945cbf6f97fa3b.ja.html,日本,匿名,,,,,,
,,"〒554-0024 大阪府, 大阪市, 此花区島屋6丁目2-45",ホテル京阪 ユニバーサル・タワー,駐車場から部屋まで直接部屋まで行けない,部屋が広かった,2件の投稿,笑,https://www.booking.com/reviews/jp/hotel/hotel-keihan-universal-tower/review/d07489eb1b70e11a.ja.html,日本,Yuuichi,,,,,,
,,"〒554-0024 大阪府, 大阪市, 此花区島屋6丁目2-45",ホテル京阪 ユニバーサル・タワー,31Fの入浴料金・時間帯が知らないスタッフがいる 宿泊するのに「駐車場どこですか」と問いかけら嫌そうな表情で対応した,,1件の投稿,とてもすばらしい,https://www.booking.com/reviews/jp/hotel/hotel-keihan-universal-tower/review/493ab8609d1c329d.ja.html,日本,す,,,,,,
,,"〒554-0024 大阪府, 大阪市, 此花区島屋6丁目2-45",ホテル京阪 ユニバーサル・タワー,入浴料を少し下げてほしい（滞在中大人２０００円）。安価な朝食があるともっと良かった。,２０階だったので眺めが良かった。エレベーターが６機あり待たされることは少なかった。連泊でしたが毎日綺麗に清掃してくれた。USJ、JR、波止場も近く、コンビニも真下にあり立地条件が良かった。ホテル内でUSJのチケットが購入できた。,1件の投稿,上出来でした,https://www.booking.com/reviews/jp/hotel/hotel-keihan-universal-tower/review/2444c946f85708e1.ja.html,日本,羽毛丸,,,,,,
,,"〒554-0024 大阪府, 大阪市, 此花区島屋6丁目2-45",ホテル京阪 ユニバーサル・タワー,もしできるなら割引チケットが買えたらいいなと思いました。,無料で観れる映画もあってよかったのと、ロビーの階段が素敵でした。,1件の投稿,良い,https://www.booking.com/reviews/jp/hotel/hotel-keihan-universal-tower/review/ee3edb8bf5f18c94.ja.html,日本,匿名,,,,,,
,,"〒554-0024 大阪府, 大阪市, 此花区島屋6丁目2-45",ホテル京阪 ユニバーサル・タワー,お風呂の浴槽が、ザラついていた。 レストランで足元に残飯をこぼされ、失敗はあるのでそれは良かったのだが、それを拭く際、綺麗に吹き上げず、たまごのかすが残ったまま行かれてしまった。まるで私達がこぼしたと思われる。 朝食のレストランが混んでいて、行列が、でき皆待っているのに、階段から上がってきたお客が裏からなん組も入ってきて、それを知らないから、そのままテーブルにつき、食事を始めた。裏は入れなくするべき。 部屋のグラスが微妙に、汚かった。 景色を見ようと窓際を、見たら、窓汚い。,朝食がおいしかった。 フロントの女性の態度は良かった。,1件の投稿,もう泊まらないですね。,https://www.booking.com/reviews/jp/hotel/hotel-keihan-universal-tower/review/471b0e917ba0e6bf.ja.html,日本,Hitomi,,,,,,
,,"〒554-0024 大阪府, 大阪市, 此花区島屋6丁目2-45",ホテル京阪 ユニバーサル・タワー,スタッフさんが少し無愛想で残念でした。フットレストだけじゃなくて、椅子が二つあったらよかった。,ベッドが広くてよかった！お部屋も広かった。,10件の投稿,のんびりできました,https://www.booking.com/reviews/jp/hotel/hotel-keihan-universal-tower/review/a14a1bcb1ed2d61c.ja.html,日本,匿名,,,,,,
,,"〒554-0024 大阪府, 大阪市, 此花区島屋6丁目2-45",ホテル京阪 ユニバーサル・タワー,朝食の安いプランがあれば利用したい。,いろいろなモノが完備されていて快適でした！,1件の投稿,また、利用したい,https://www.booking.com/reviews/jp/hotel/hotel-keihan-universal-tower/review/865994ae520ef680.ja.html,日本,Isao,,,,,,
